Date,Open,High,Low,Close,Adj Close,Volume
2021-01-27,325.5,331.48999,312.899994,329.51001,329.51001,2104000
2021-01-28,330.799988,336.5,328.700012,330.23999,330.23999,1673400
2021-01-29,327.850006,330.809998,322.01001,328.679993,328.679993,1258000
2021-02-01,329.380005,334.220001,324.399994,333.470001,333.470001,1410700
2021-02-02,335.820007,344.329987,334.670013,343.920013,343.920013,1154200
2021-02-03,344.98999,345,331.519989,332.390015,332.390015,1367900
2021-02-04,335.339996,340,334.350006,338.589996,338.589996,1143200
2021-02-05,340.200012,340.200012,332.910004,334.079987,334.079987,1226700
2021-02-08,335.950012,342.429993,334.119995,339.709991,339.709991,1039200
2021-02-09,336.649994,342.329987,334.149994,340.690002,340.690002,948100
2021-02-10,341.200012,344.910004,338.01001,341.390015,341.390015,919100
2021-02-11,344.720001,347,340.859985,345.890015,345.890015,950400
2021-02-12,345.01001,345.670013,339.25,342.859985,342.859985,829500
2021-02-16,344.190002,345,339.230011,339.850006,339.850006,862000
2021-02-17,338.070007,338.589996,331.190002,337.519989,337.519989,869100
2021-02-18,334.850006,338.420013,325.75,336.829987,336.829987,1242800
2021-02-19,337,338.190002,331.119995,332.230011,332.230011,1171800
2021-02-22,328.809998,328.809998,319.309998,321.48999,321.48999,1324400
2021-02-23,315.769989,325.51001,304.869995,322.850006,322.850006,1948100
2021-02-24,318.790009,321.179993,312.51001,317.700012,317.700012,1127900
2021-02-25,316.200012,326.190002,308.579987,310.119995,310.119995,1278400
2021-02-26,312.350006,316.579987,306.399994,311.679993,311.679993,1460800
2021-03-01,313.089996,317.350006,312.109985,314.829987,314.829987,1315000
2021-03-02,316.51001,321.25,312.100006,317.470001,317.470001,1371100
2021-03-03,313.690002,315.75,295.679993,295.98999,295.98999,2479200
2021-03-04,296.410004,299.279999,280.480011,285.140015,285.140015,3084200
2021-03-05,290.450012,293.820007,269.279999,293.23999,293.23999,2596200
2021-03-08,291.170013,295.869995,288.049988,288.940002,288.940002,1966500
2021-03-09,296.950012,304.850006,294.779999,298.350006,298.350006,1585200
2021-03-10,302.070007,311.410004,299.190002,309,309,2368300
2021-03-11,313.529999,315.339996,308.73999,310.339996,310.339996,1804500
2021-03-12,304.459991,307.700012,299.01001,306.079987,306.079987,1260700
2021-03-15,306.730011,314.570007,304.170013,314.320007,314.320007,875200
2021-03-16,315.549988,316.890015,305.700012,308.75,308.75,1145600
2021-03-17,303.890015,316.589996,303.890015,315.220001,315.220001,1022000
2021-03-18,311.170013,316.200012,305.279999,306.350006,306.350006,1109900
2021-03-19,305.369995,312.480011,303.51001,308.709991,308.709991,1623600
2021-03-22,309.589996,316.519989,308.76001,313.600006,313.600006,889300
2021-03-23,314.220001,321.299988,312.899994,314.029999,314.029999,1155200
2021-03-24,316.299988,319.700012,306.679993,307.309998,307.309998,1039300
2021-03-25,303.559998,307.850006,298.540009,306.209991,306.209991,1326800
2021-03-26,302.609985,314.149994,302.480011,314,314,1109400
2021-03-29,317.459991,319.799988,310.25,316.160004,316.160004,1475100
2021-03-30,314.519989,320.579987,311.440002,317.089996,317.089996,2537100
2021-03-31,307.649994,311.690002,300.049988,306.709991,306.709991,4932400
2021-04-01,308.290009,308.790009,300.320007,301.070007,301.070007,2987500
